name,gender,age,city,platform_primary,platform_secondary,sector,tenure_platform_1_months,tenure_platform_2_months,working_hours_per_day,rating,avg_monthly_earnings,total_earnings,std_dev_earnings,recurring_expenses,cash_inflow_to_outflow_ratio,savings,net_savings_ratio,emergency_fund_months_covered,dependent_count,credit_card_user,credit_score,credit_history_length_months,education,loan_amount_requested,loan_term_months,interest_rate,purpose_of_loan,location_stability,earnings_trend_slope_6mo,num_loan_rejections_6mo,assets_inr,repayment_status
Ekaja Ghosh,Female,25,Chittoor,KaamWaliBai,HouseHelpIndia,domestic,33,33,9,4.250589256019087,31472,377664,9037.45,13021,1.34,0,0.0,2.9,0,True,697.0,19,10th,53780,36,19.66,business,stable,0.01,0,{},1.0
Ishani Chahal,Female,26,Tadipatri,Yes Madam,UrbanClap,beauty,37,39,7,4.4,21026,252312,8242.87,14170,0.9,0,0.0,1.7,0,True,411.0,34,12th,55322,36,17.98,medical,semi-stable,-0.13,0,"{""vehicle"": 54074}",0.0
Indrajit Subramaniam,Male,23,Raipur,Instamart,Swiggy,food_delivery,37,38,11,3.6,25449,305388,2628.7,13935,1.08,0,0.0,3.8,1,False,,0,12th,128567,12,22.42,vehicle,stable,0.18,0,"{""home"": 1485076}",0.0
Inaya Pradhan,Female,24,Panvel,HandyManGo,QuickFix,other,5,9,7,4.250589256019087,31175,374100,7328.15,15246,1.15,10000,0.03,1.3,3,False,,0,10th,34955,12,10.91,business,semi-stable,-0.02,1,"{""vehicle"": 126295}",0.0
Atharv Dar,Male,35,Pune,Instamart,Zomato,food_delivery,19,14,11,4.6,24420,293040,7096.42,16609,1.48,0,0.0,3.8,0,False,,0,12th,74650,36,11.5,wedding,stable,-0.11,0,"{""land"": 624872}",1.0
Azaan Sarraf,Male,43,Nagercoil,HouseHelpIndia,KaamWaliBai,domestic,53,57,7,4.250589256019087,30187,362244,11814.63,15547,1.38,10000,0.03,2.3,0,False,,0,graduate,39787,12,18.99,education,semi-stable,0.01,1,{},1.0
Amol Mammen,Male,45,Bhimavaram,Uber,Ola,cab,29,34,12,4.6,23683,284196,9115.32,14234,1.34,10000,0.04,0.8,3,False,,0,10th,16791,36,20.7,education,stable,0.18,2,"{""vehicle"": 226424, ""home"": 711250, ""land"": 956641}",1.0
Aashi Sanghvi,Female,44,Jamnagar,Vedantu,,tutoring,18,0,7,4.250589256019087,26129,313548,9489.88,14670,1.38,10000,0.03,2.5,2,False,,0,graduate,66671,36,12.62,business,stable,0.02,0,{},1.0
Dayamai Venkatesh,Female,42,Panvel,Instamart,Zomato,food_delivery,42,45,12,4.7,22879,274548,8431.74,14923,0.76,0,0.0,3.7,1,False,,0,10th,145392,12,16.46,medical,semi-stable,-0.01,0,"{""vehicle"": 160678}",0.0
Agastya Balay,Male,48,Gwalior,Instamart,Swiggy,food_delivery,12,9,11,3.5,28306,339672,4726.42,15839,1.15,25000,0.07,2.4,2,False,,0,10th,115835,24,18.73,debt_consolidation,stable,-0.04,0,"{""vehicle"": 246745, ""home"": 1348044}",1.0
Azad Ram,Male,26,Sri Ganganagar,Instamart,,food_delivery,53,0,8,4.0,13250,159000,3164.56,6096,1.13,0,0.0,0.6,0,False,,0,12th,56093,24,22.76,wedding,semi-stable,0.05,0,"{""vehicle"": 241638, ""home"": 1426825}",0.0
Faris Mody,Male,35,Buxar,HandyManGo,QuickFix,other,5,3,11,4.250589256019087,24931,299172,5388.73,14608,1.19,0,0.0,3.7,0,False,,0,10th,130872,36,18.75,vehicle,stable,-0.12,0,"{""vehicle"": 173636, ""home"": 1041433}",0.0
Chakrika Bhatia,Female,39,Mahbubnagar,Yes Madam,UrbanClap,beauty,11,12,9,3.6,31645,379740,3876.15,12966,0.84,0,0.0,1.9,1,False,,0,10th,82573,12,17.3,business,stable,-0.04,0,"{""vehicle"": 299328}",0.0
Praneel Dara,Male,39,Solapur,Rapido,Uber,cab,4,2,13,3.8,30345,364140,8984.48,14764,1.25,0,0.0,1.2,1,False,,0,graduate,56618,36,12.34,medical,stable,-0.12,0,{},1.0
Ishaan Sankar,Male,43,Tezpur,Zomato,Swiggy,food_delivery,56,54,11,4.9,18872,226464,3536.88,11754,0.78,0,0.0,2.0,0,False,,0,10th,38893,24,10.15,wedding,stable,-0.03,0,"{""vehicle"": 275453, ""home"": 667899}",1.0
Dalaja Devan,Female,41,Mirzapur,KaamWaliBai,HouseHelpIndia,domestic,8,10,7,4.250589256019087,55366,664392,18379.39,29464,1.4,0,0.0,3.5,1,False,,0,12th,121062,12,13.27,vehicle,stable,0.17,0,"{""vehicle"": 171109}",1.0
Krishna Kaul,Male,38,Bathinda,Ola,,cab,37,0,14,4.3,29136,349632,5822.07,18522,1.16,0,0.0,0.4,0,False,,0,graduate,132569,36,10.01,business,semi-stable,0.16,0,"{""land"": 963584}",1.0
Christopher Mani,Male,40,North Dumdum,Rapido,Uber,cab,28,26,10,3.9,27752,333024,4722.4,15162,1.4,0,0.0,0.9,0,False,,0,10th,91674,12,10.59,education,stable,-0.01,0,{},0.0
Patrick Sharma,Male,40,Hazaribagh,Uber,Ola,cab,11,5,11,4.1,35184,422208,11267.83,15897,1.01,0,0.0,1.4,2,False,,0,12th,101169,24,23.81,medical,semi-stable,0.19,0,{},0.0
Udarsh Varty,Male,33,Raebareli,QuickFix,HandyManGo,other,31,31,8,4.250589256019087,16766,201192,5540.29,10098,1.49,0,0.0,1.9,1,False,,0,12th,138612,24,19.91,medical,stable,0.12,2,"{""home"": 699319}",0.0
Yug Gade,Male,41,Solapur,QuickFix,HandyManGo,other,20,18,7,4.250589256019087,21793,261516,2322.38,10539,1.48,0,0.0,0.2,0,False,,0,10th,101549,24,21.36,medical,stable,0.08,2,"{""vehicle"": 193710, ""land"": 961391}",0.0
Siya Soman,Female,31,Sasaram,UrbanClap,Yes Madam,beauty,13,8,9,3.9,27107,325284,9117.01,14683,0.99,0,0.0,3.3,1,False,,0,12th,14033,24,10.12,education,stable,-0.09,0,"{""vehicle"": 67686}",0.0
Farhan Karnik,Male,43,Madanapalle,Uber,Ola,cab,39,36,12,4.8,25340,304080,4108.16,13078,0.74,25000,0.08,2.5,0,False,,0,10th,105772,36,13.03,education,semi-stable,-0.02,0,{},1.0
Michael Thakkar,Male,49,Sri Ganganagar,HouseHelpIndia,KaamWaliBai,domestic,33,37,7,4.250589256019087,21762,261144,4808.05,11708,0.95,10000,0.04,2.1,1,False,,0,12th,42561,24,22.64,wedding,unstable,0.07,0,"{""vehicle"": 77666, ""home"": 1496969}",1.0
Isaiah Lad,Male,50,Madhyamgram,Instamart,Zepto,food_delivery,18,15,11,4.3,33049,396588,4689.99,13429,0.85,0,0.0,1.0,3,True,457.0,13,10th,109953,12,23.01,wedding,stable,-0.05,0,"{""vehicle"": 267111}",0.0
Yauvani Sethi,Female,43,Tiruchirappalli,HouseHelpIndia,KaamWaliBai,domestic,14,14,8,4.250589256019087,37420,449040,11624.37,16538,0.95,0,0.0,2.9,3,False,,0,graduate,120494,12,14.38,vehicle,stable,-0.05,2,{},0.0
Qadim Walla,Male,29,Ambala,HandyManGo,,other,23,0,11,4.250589256019087,19836,238032,7541.3,10394,0.76,0,0.0,2.8,0,False,,0,12th,15795,12,23.59,vehicle,stable,-0.02,0,{},0.0
Praneel Oza,Male,45,Phusro,UrbanPro,Vedantu,tutoring,31,31,8,4.250589256019087,28429,341148,10822.61,13694,1.49,0,0.0,1.0,2,False,,0,graduate,34090,12,13.26,medical,unstable,-0.15,0,{},0.0
Veda Subramaniam,Female,20,Raurkela Industrial Township,Yes Madam,UrbanClap,beauty,30,32,8,4.5,24993,299916,3264.58,12264,1.04,0,0.0,0.2,2,False,,0,10th,13724,24,15.55,debt_consolidation,stable,-0.02,0,{},0.0
Megha Chhabra,Female,27,Naihati,QuickFix,HandyManGo,other,57,57,6,4.250589256019087,27127,325524,4146.24,17532,0.86,0,0.0,1.3,2,False,,0,10th,31059,24,22.13,vehicle,stable,-0.07,0,"{""land"": 752450}",0.0
Chandran Patla,Male,38,Sangli-Miraj & Kupwad,Yes Madam,UrbanClap,beauty,55,56,9,4.5,35016,420192,9087.24,14962,0.96,0,0.0,1.9,1,False,,0,12th,139001,12,17.39,medical,stable,0.07,0,"{""vehicle"": 238040, ""land"": 308892}",0.0
Nitesh Dhar,Male,19,Nellore,Ola,Rapido,cab,17,17,14,4.1,64216,770592,12100.72,36620,1.46,0,0.0,3.9,0,False,,0,graduate,91276,12,21.38,wedding,semi-stable,-0.01,0,{},1.0
Reyansh Balay,Male,25,Bhubaneswar,Instamart,Zepto,food_delivery,9,4,9,4.8,26035,312420,9408.15,13943,1.02,10000,0.03,3.5,0,False,,0,12th,67092,12,13.58,wedding,semi-stable,-0.04,0,"{""vehicle"": 114213, ""land"": 847177}",1.0
Chandani Date,Female,37,Bongaigaon,Yes Madam,UrbanClap,beauty,7,4,7,4.3,30291,363492,9194.57,17531,1.14,0,0.0,1.5,0,False,,0,graduate,20764,36,12.97,education,stable,0.1,0,"{""vehicle"": 99583}",0.0
Jai Maharaj,Male,39,Dhule,Uber,Rapido,cab,46,48,13,3.7,32116,385392,10658.26,16064,1.06,0,0.0,1.5,2,True,301.0,13,10th,112450,24,21.32,vehicle,stable,0.14,0,{},1.0
Manthan Malhotra,Male,22,Thrissur,Rapido,Uber,cab,3,2,13,3.9,28290,339480,6660.93,13917,1.28,0,0.0,3.1,1,False,,0,10th,103770,36,11.46,debt_consolidation,semi-stable,-0.17,0,"{""vehicle"": 240014, ""land"": 419277}",0.0
Lakshit Kuruvilla,Male,44,Muzaffarpur,Ola,Rapido,cab,52,53,13,3.9,19033,228396,7500.43,8219,0.73,0,0.0,1.2,2,True,732.0,18,none,69305,24,11.48,debt_consolidation,stable,-0.03,0,"{""vehicle"": 110338}",0.0
Arjun Bahri,Male,23,Yamunanagar,Zepto,Instamart,food_delivery,30,32,11,4.8,37824,453888,8090.48,23564,0.91,10000,0.02,2.9,2,False,,0,graduate,99099,24,23.82,vehicle,stable,0.03,0,"{""vehicle"": 78947}",1.0
Urishilla Lad,Female,24,Darbhanga,KaamWaliBai,HouseHelpIndia,domestic,56,50,9,4.250589256019087,31386,376632,8917.06,19637,1.25,0,0.0,1.1,1,False,,0,graduate,127403,24,19.78,vehicle,stable,-0.07,0,{},0.0
Nitesh Sarma,Male,45,Jamalpur,HandyManGo,QuickFix,other,40,40,9,4.250589256019087,28197,338364,9494.87,12392,0.8,0,0.0,3.8,1,False,,0,10th,135890,12,10.79,debt_consolidation,stable,0.1,0,"{""vehicle"": 261526}",0.0
Kai Jani,Male,46,Bihar Sharif,Uber,Rapido,cab,17,11,10,4.9,9213,110556,3302.43,3743,0.85,10000,0.09,3.5,1,False,,0,12th,23533,24,10.07,wedding,semi-stable,0.03,0,"{""vehicle"": 201042, ""land"": 568243}",1.0
Hemal Soman,Female,47,Bikaner,UrbanClap,Yes Madam,beauty,5,10,6,4.5,23605,283260,5719.96,13650,1.01,25000,0.09,3.5,1,True,598.0,5,12th,13219,24,17.37,education,stable,0.1,2,"{""vehicle"": 56373}",1.0
Nihal Sen,Male,44,Alwar,Swiggy,Instamart,food_delivery,18,21,9,4.5,18184,218208,6137.16,10456,1.24,0,0.0,0.2,1,False,,0,10th,139378,12,17.07,vehicle,unstable,0.07,0,"{""vehicle"": 248174, ""home"": 994929, ""land"": 456263}",0.0
Daniel Som,Male,33,Shivpuri,KaamWaliBai,HouseHelpIndia,domestic,46,50,9,4.250589256019087,26919,323028,4262.63,12202,1.15,10000,0.03,2.1,1,False,,0,12th,145065,24,10.28,business,stable,-0.08,0,{},0.0
Dhriti Chawla,Female,40,Ambattur,HouseHelpIndia,,domestic,5,0,7,4.250589256019087,17680,212160,3737.78,11010,0.84,10000,0.05,2.3,2,False,,0,none,142441,12,19.45,vehicle,stable,0.02,0,"{""home"": 1487027}",0.0
Aarnav Baral,Male,46,Tirupati,Zepto,Swiggy,food_delivery,18,16,8,3.6,21069,252828,5168.87,11259,1.3,10000,0.04,0.9,1,False,,0,none,94370,24,17.57,wedding,semi-stable,-0.12,0,{},0.0
Chakrika Balasubramanian,Female,40,Ambarnath,HouseHelpIndia,KaamWaliBai,domestic,20,20,7,4.250589256019087,31499,377988,7656.59,12977,1.31,0,0.0,2.9,0,False,,0,10th,133715,12,13.68,wedding,semi-stable,0.03,0,"{""vehicle"": 156822}",0.0
Pratyush Dani,Male,40,Haldia,Instamart,Zomato,food_delivery,7,10,10,4.4,8000,96000,1815.89,3533,0.77,10000,0.1,1.2,2,False,,0,none,28688,24,14.12,medical,stable,-0.01,0,"{""vehicle"": 105994, ""home"": 1450413}",0.0
Zayan Brahmbhatt,Male,19,Srinagar,Ola,Uber,cab,46,41,10,4.9,8000,96000,2956.97,4110,1.41,0,0.0,2.6,1,False,,0,graduate,65002,24,23.05,vehicle,semi-stable,-0.12,0,{},1.0
Chameli Babu,Female,34,Shimla,Zomato,Swiggy,food_delivery,49,43,10,4.9,29997,359964,7375.67,19208,1.04,10000,0.03,2.2,1,False,,0,10th,135649,12,21.77,medical,stable,-0.05,0,"{""vehicle"": 114378}",1.0
Kai Iyengar,Male,21,Madurai,Instamart,Zomato,food_delivery,49,52,9,3.6,15965,191580,4952.9,7387,1.03,0,0.0,3.7,2,True,384.0,15,graduate,148955,24,14.48,wedding,semi-stable,-0.15,0,"{""vehicle"": 133723, ""home"": 1108054}",0.0
Viraj Ramanathan,Male,28,Bihar Sharif,QuickFix,HandyManGo,other,27,23,8,4.250589256019087,15246,182952,4835.93,9162,1.48,10000,0.05,1.7,0,False,,0,12th,133265,12,23.1,business,stable,0.1,1,"{""vehicle"": 119482}",0.0
Chameli Kannan,Female,37,Sambalpur,HouseHelpIndia,KaamWaliBai,domestic,17,13,7,4.250589256019087,24829,297948,4497.26,13531,0.92,0,0.0,2.8,1,True,366.0,18,12th,110223,24,19.26,education,stable,0.08,0,"{""home"": 808868}",0.0
Balvan Ben,Male,32,Pondicherry,Swiggy,Instamart,food_delivery,18,13,8,5.0,18294,219528,5839.14,9179,0.99,10000,0.05,0.8,1,True,624.0,18,10th,128858,24,23.29,wedding,semi-stable,-0.12,0,{},0.0
Yasti Date,Female,27,Saharsa,UrbanClap,Yes Madam,beauty,42,47,8,4.4,79944,959328,14855.35,33797,0.76,25000,0.03,2.5,0,False,,0,10th,43097,12,22.06,education,stable,0.01,0,"{""land"": 882582}",1.0
Wriddhish Tripathi,Male,31,Panipat,UrbanPro,Vedantu,tutoring,49,47,8,4.250589256019087,18930,227160,1991.89,9741,0.86,10000,0.04,0.7,2,False,,0,12th,117155,24,16.05,medical,semi-stable,0.26,0,"{""vehicle"": 130909}",0.0
Charan Chahal,Male,24,Guntakal,HouseHelpIndia,KaamWaliBai,domestic,50,46,8,4.250589256019087,29926,359112,10705.42,14809,1.29,10000,0.03,2.8,2,False,,0,10th,109531,12,13.66,vehicle,stable,0.01,0,{},1.0
Sathvik Nadkarni,Male,43,Loni,Yes Madam,UrbanClap,beauty,44,43,8,4.6,27658,331896,2974.4,13240,1.43,25000,0.08,0.1,2,False,,0,12th,23891,12,22.68,business,unstable,-0.05,0,"{""vehicle"": 244070, ""home"": 652869}",1.0
Charan Tiwari,Male,50,Panipat,Instamart,Swiggy,food_delivery,29,34,12,3.7,22076,264912,4474.19,14700,1.42,0,0.0,3.6,0,False,,0,12th,55762,24,16.55,medical,stable,0.04,0,"{""vehicle"": 272556}",1.0
Triya Khosla,Female,35,New Delhi,Uber,Ola,cab,28,27,12,4.3,34563,414756,8008.19,19626,1.35,10000,0.02,1.9,2,False,,0,10th,107843,36,21.88,vehicle,unstable,0.14,0,{},1.0
Darpan Karnik,Male,31,Ahmedabad,QuickFix,HandyManGo,other,11,10,8,4.250589256019087,22105,265260,8287.47,10483,1.48,0,0.0,2.2,1,True,694.0,28,12th,88284,12,18.93,vehicle,stable,-0.06,0,"{""vehicle"": 90189, ""home"": 1197681}",0.0
Shivansh Thaman,Male,36,Dehri,HandyManGo,QuickFix,other,25,25,11,4.250589256019087,22911,274932,2562.2,12232,0.81,0,0.0,0.1,0,False,,0,10th,51019,12,10.09,vehicle,stable,-0.09,0,"{""vehicle"": 219875}",0.0
Gunbir Naidu,Male,31,Amroha,QuickFix,HandyManGo,other,28,25,11,4.250589256019087,27558,330696,10881.42,17935,1.39,0,0.0,2.8,0,False,,0,12th,26399,24,12.36,medical,semi-stable,-0.1,1,"{""home"": 765714}",1.0
Robert Chander,Male,41,Jamshedpur,Zepto,Instamart,food_delivery,46,42,10,4.1,13737,164844,5337.6,8811,1.35,0,0.0,3.8,0,False,,0,10th,50566,24,13.46,education,stable,-0.07,0,"{""vehicle"": 232631}",0.0
Ikshita Mutti,Female,27,Nangloi Jat,Yes Madam,UrbanClap,beauty,27,29,6,4.2,34177,410124,13481.51,18760,1.24,0,0.0,0.8,1,False,,0,10th,116938,36,18.25,business,stable,-0.06,0,"{""vehicle"": 247480}",0.0
Vincent Mallick,Male,23,Bulandshahr,Ola,Rapido,cab,35,34,14,4.7,22087,265044,5198.61,9061,1.38,0,0.0,3.5,0,False,,0,12th,54227,36,21.6,debt_consolidation,stable,0.02,0,"{""vehicle"": 281798}",1.0
Banjeet Nagy,Male,37,Nashik,Uber,Rapido,cab,52,49,13,4.0,76691,920292,12134.61,43596,1.43,10000,0.01,3.4,0,False,,0,12th,54034,24,23.67,wedding,stable,0.15,0,"{""land"": 463681}",1.0
Kalpit Dixit,Male,42,Kochi,Uber,Ola,cab,46,40,13,3.7,30756,369072,5504.81,14356,0.71,0,0.0,2.3,0,False,,0,10th,61494,12,16.0,debt_consolidation,stable,0.04,0,"{""vehicle"": 262247, ""land"": 322176}",0.0
Mahika Thakkar,Female,32,Bidar,KaamWaliBai,HouseHelpIndia,domestic,36,34,7,4.250589256019087,30362,364344,8377.47,16785,1.22,10000,0.03,3.1,1,False,,0,10th,48067,36,13.87,business,stable,-0.01,0,"{""vehicle"": 292018}",1.0
Chatura Sinha,Male,23,Satna,HouseHelpIndia,KaamWaliBai,domestic,24,25,8,4.250589256019087,28725,344700,7400.66,17432,1.31,10000,0.03,1.3,0,True,433.0,30,10th,51219,12,19.42,medical,stable,-0.07,0,"{""home"": 917488, ""land"": 420892}",1.0
Shivansh Sane,Male,45,Jaipur,Uber,Ola,cab,12,11,14,4.1,27180,326160,4589.79,12086,1.1,10000,0.03,0.9,1,False,,0,10th,64325,36,23.85,vehicle,stable,-0.15,0,{},1.0
Amara Dhaliwal,Female,23,Machilipatnam,KaamWaliBai,HouseHelpIndia,domestic,24,23,8,4.250589256019087,34768,417216,9658.88,22655,1.44,0,0.0,0.6,1,False,,0,10th,73817,12,18.3,business,stable,-0.04,0,"{""vehicle"": 113692}",0.0
Amruta Mangal,Female,26,Kolhapur,UrbanClap,Yes Madam,beauty,46,44,7,4.4,27503,330036,9223.92,14026,0.71,0,0.0,1.1,0,True,689.0,59,graduate,32368,12,10.7,medical,semi-stable,-0.11,0,{},0.0
Ekanta Hayre,Female,41,Panipat,Vedantu,UrbanPro,tutoring,30,28,8,4.250589256019087,32974,395688,3847.1,13761,0.76,0,0.0,2.4,0,False,,0,none,91608,24,14.91,debt_consolidation,stable,0.01,0,"{""home"": 622422}",0.0
Veer Minhas,Male,24,South Dumdum,Vedantu,UrbanPro,tutoring,44,49,6,4.250589256019087,23704,284448,6820.1,12870,1.19,0,0.0,0.7,1,False,,0,graduate,88706,24,12.66,medical,semi-stable,-0.06,0,{},0.0
Vivaan Srinivasan,Male,25,Nagaon,Swiggy,Zepto,food_delivery,21,16,11,4.1,21502,258024,5788.27,13912,1.24,0,0.0,0.4,1,True,443.0,32,10th,137383,36,22.68,wedding,stable,0.05,1,"{""vehicle"": 179848, ""home"": 791358}",0.0
Aryan Dubey,Male,43,Katihar,Instamart,Zomato,food_delivery,28,29,10,4.2,14395,172740,3571.14,8970,1.08,0,0.0,1.7,1,False,,0,none,26227,24,20.42,medical,semi-stable,-0.05,0,"{""vehicle"": 242082}",0.0
Zayan Kale,Male,23,Dehri,Rapido,Ola,cab,17,19,10,4.3,19363,232356,3953.8,9040,1.1,10000,0.04,2.8,0,False,,0,graduate,66258,24,18.52,debt_consolidation,semi-stable,-0.02,0,"{""vehicle"": 233433, ""home"": 1140137}",0.0
Finn Iyengar,Male,21,Kirari Suleman Nagar,QuickFix,HandyManGo,other,50,52,11,4.250589256019087,24881,298572,3926.79,11110,1.11,0,0.0,1.1,2,False,,0,10th,70204,12,18.73,business,stable,0.04,0,"{""vehicle"": 201565}",1.0
Anika Borra,Female,27,Karnal,Yes Madam,UrbanClap,beauty,23,20,9,3.6,23679,284148,8893.84,14360,0.98,0,0.0,3.9,0,True,603.0,58,none,129539,12,13.11,business,stable,0.01,2,"{""vehicle"": 54291}",0.0
Hredhaan Vig,Male,18,Bardhaman,QuickFix,,other,12,0,11,4.250589256019087,72510,870120,16520.42,34682,1.01,10000,0.01,3.1,1,False,,0,12th,148375,36,10.94,business,unstable,-0.05,0,"{""vehicle"": 126996}",1.0
Yachana Sawhney,Female,33,Nagaon,Yes Madam,UrbanClap,beauty,57,54,6,3.8,37992,455904,12569.18,16514,1.1,0,0.0,0.2,0,True,303.0,44,12th,126977,36,11.28,medical,stable,-0.03,0,"{""land"": 940382}",0.0
Nathan Dash,Male,26,Salem,Uber,Ola,cab,14,16,11,4.8,14434,173208,4495.17,7963,0.92,0,0.0,1.5,2,False,,0,12th,47355,12,17.77,business,semi-stable,0.03,0,"{""vehicle"": 287305}",1.0
Falan Padmanabhan,Male,35,Bikaner,Zomato,Zepto,food_delivery,36,32,11,3.5,16843,202116,2227.67,8222,1.06,25000,0.12,3.1,1,False,,0,10th,14735,24,12.73,debt_consolidation,stable,-0.09,0,{},1.0
Triveni Shenoy,Female,32,Tirunelveli,UrbanClap,Yes Madam,beauty,49,45,9,4.2,23562,282744,3430.31,16371,1.21,10000,0.04,0.1,0,False,,0,12th,47846,36,10.92,education,stable,-0.06,1,"{""home"": 395076}",1.0
Caleb Mammen,Male,20,Ballia,Swiggy,Zepto,food_delivery,58,60,8,4.4,15814,189768,4984.61,9418,1.46,0,0.0,0.6,0,True,498.0,24,12th,119176,12,17.24,wedding,stable,-0.15,0,"{""vehicle"": 279624, ""home"": 597671}",0.0
Yash Khurana,Male,35,Buxar,Instamart,Zomato,food_delivery,33,30,9,3.6,23814,285768,6209.49,10933,1.43,10000,0.03,0.8,0,False,,0,10th,131856,36,21.03,medical,stable,0.02,1,"{""vehicle"": 98761}",0.0
Aashi Gera,Female,35,Jamshedpur,HouseHelpIndia,,domestic,32,0,8,4.250589256019087,16955,203460,5924.59,8429,1.29,10000,0.05,2.0,0,False,,0,12th,78372,12,17.23,vehicle,stable,0.04,1,"{""vehicle"": 88086, ""home"": 308468}",0.0
Darsh Agrawal,Male,28,Agra,KaamWaliBai,HouseHelpIndia,domestic,3,8,8,4.250589256019087,23358,280296,3494.99,11973,1.23,0,0.0,3.8,1,False,,0,12th,11733,36,17.76,medical,stable,-0.13,1,"{""home"": 396087}",0.0
Dalaja Oommen,Female,45,Jalgaon,Yes Madam,UrbanClap,beauty,8,10,8,4.2,9394,112728,2417.3,3920,0.81,0,0.0,1.1,0,False,,0,10th,23755,24,11.3,medical,stable,0.15,0,"{""land"": 382641}",0.0
Chavvi Raju,Female,41,Rewa,UrbanPro,Vedantu,tutoring,59,61,7,4.250589256019087,24390,292680,8910.3,13907,1.26,10000,0.03,2.6,1,False,,0,graduate,87189,24,10.3,debt_consolidation,stable,0.06,0,{},1.0
Tanish Mander,Male,39,Muzaffarnagar,Uber,Rapido,cab,55,55,12,3.9,24911,298932,6404.7,14475,1.27,0,0.0,2.0,1,False,,0,10th,50437,12,11.14,education,stable,-0.03,0,"{""vehicle"": 233640, ""home"": 1426873, ""land"": 376796}",1.0
Anay Amble,Male,24,Malegaon,HandyManGo,,other,45,0,9,4.250589256019087,34849,418188,11043.7,23085,0.77,0,0.0,0.1,1,True,396.0,39,12th,94182,24,21.85,business,stable,-0.22,0,"{""vehicle"": 278999}",0.0
Lucky Mistry,Male,47,Amritsar,Zepto,Instamart,food_delivery,41,46,12,4.0,20635,247620,4157.67,10492,1.36,0,0.0,0.2,2,False,,0,graduate,74810,12,12.0,education,unstable,-0.07,0,"{""vehicle"": 135319, ""home"": 1392371, ""land"": 352229}",0.0
Dayita Bhardwaj,Female,42,Bhagalpur,UrbanPro,Vedantu,tutoring,18,15,7,4.250589256019087,15252,183024,2000.27,10569,0.98,0,0.0,1.6,1,False,,0,10th,75210,36,12.11,medical,stable,0.24,0,"{""land"": 669699}",0.0
Qabil Rattan,Male,28,Jalgaon,QuickFix,HandyManGo,other,43,39,11,4.250589256019087,31408,376896,11234.46,21671,1.47,0,0.0,0.1,0,False,,0,graduate,93092,24,13.97,education,stable,-0.0,1,{},1.0
Girindra Gupta,Male,48,Gudivada,Uber,,cab,39,0,10,4.5,30650,367800,7586.42,20812,0.93,0,0.0,3.8,1,False,,0,12th,57121,24,18.53,wedding,stable,-0.03,0,"{""vehicle"": 247774}",1.0
Gautam Nori,Male,33,Patna,Rapido,Ola,cab,43,44,12,4.0,19564,234768,2323.88,10255,1.25,0,0.0,1.1,1,True,342.0,49,graduate,20209,36,12.67,education,semi-stable,0.0,0,"{""vehicle"": 97587}",1.0
Jagat Sekhon,Male,37,Barasat,Swiggy,Zepto,food_delivery,50,46,9,4.0,39892,478704,15748.32,19844,1.36,0,0.0,2.1,1,False,,0,graduate,60283,24,23.72,wedding,stable,0.08,0,"{""vehicle"": 248567}",1.0
Rehaan Rau,Male,42,Kozhikode,Ola,Rapido,cab,52,46,14,4.8,26261,315132,10442.07,15099,1.09,10000,0.03,1.0,0,False,,0,12th,144993,24,23.85,vehicle,unstable,-0.1,0,"{""vehicle"": 249911}",1.0
Jhalak Solanki,Female,30,Satna,HouseHelpIndia,KaamWaliBai,domestic,34,28,7,4.250589256019087,22453,269436,7886.23,15000,1.41,0,0.0,1.7,2,False,,0,10th,67085,36,19.88,medical,unstable,-0.09,0,"{""vehicle"": 201403}",0.0
Nicholas Andra,Male,27,Khora ,Ola,Uber,cab,3,4,10,4.4,26789,321468,3245.78,15276,1.13,0,0.0,0.1,2,False,,0,12th,120178,24,19.29,business,stable,0.14,0,"{""vehicle"": 108315, ""land"": 596004}",0.0
Veer Bajwa,Male,44,Singrauli,UrbanClap,Yes Madam,beauty,40,42,8,3.8,15729,188748,5112.7,6897,1.22,0,0.0,3.5,0,False,,0,graduate,29743,24,13.65,wedding,stable,0.2,1,{},0.0
Chakradhar Dar,Male,24,Hajipur,Rapido,Ola,cab,48,44,10,3.5,37491,449892,9407.11,18707,1.01,10000,0.02,2.9,1,False,,0,graduate,63446,12,21.77,wedding,stable,0.11,0,"{""vehicle"": 131340, ""home"": 824806, ""land"": 430761}",1.0
Chandresh Roy,Male,40,Tirunelveli,Swiggy,Zomato,food_delivery,57,56,8,4.2,14815,177780,1619.58,8296,1.37,10000,0.06,2.7,0,False,,0,10th,96210,12,13.36,education,stable,-0.06,0,"{""vehicle"": 77783}",1.0
Inaya Parmar,Female,30,Panipat,Vedantu,UrbanPro,tutoring,48,46,8,4.250589256019087,26139,313668,7891.97,10485,1.18,10000,0.03,2.2,0,False,,0,graduate,113985,24,14.62,medical,stable,-0.02,0,"{""land"": 882294}",0.0
Eta Barad,Female,24,Kavali,Yes Madam,UrbanClap,beauty,10,7,8,4.7,34970,419640,10583.75,18482,0.77,10000,0.02,3.8,0,False,,0,10th,80499,36,13.68,business,unstable,0.01,0,"{""home"": 864771}",0.0
